,index,J_true,J_obs,Q_true,Q_obs
985,1585,0.0,0.0001259941115927073,7.727859644234396e-05,7.636204291084594e-05
986,1586,0.0,0.0003444863658915296,7.647361106273622e-05,5.139924958220515e-05
987,1587,0.0,0.00016064752519324486,7.567701094749938e-05,4.591574868473333e-05
988,1588,0.01,0.01013350669505525,0.00017905537541679624,0.0001480381167203966
989,1589,0.01,0.009233041427589083,0.0002813568819228713,0.0003055126745865964
990,1590,0.0,0.0002034526520362971,0.00027842608106950806,0.0002761138229544256
991,1591,0.0,0.00021802459160747507,0.0002755258093917007,0.0002829759141717761
992,1592,0.02,0.019848387075804302,0.0004809890822105371,0.0004455390303876617
993,1593,0.01,0.010121360119149244,0.0005801454459375107,0.000634909943184154
994,1594,0.03,0.030044344782130222,0.0008866022642089949,0.0008875980003559266
995,1595,0.01,0.01066596453475395,0.0009815334906234845,0.0009361338011096407
996,1596,0.0,0.0001255527395436268,0.0009713091834294899,0.000901678043097434
997,1597,0.0,0.0006001166721248126,0.0009611913794354327,0.0010078379750550152
998,1598,0.01,0.010532010801812094,0.001055345635899647,0.0010016465116792998
999,1599,0.0,0.00010980495073566588,0.001044352452192359,0.0010371697904891152
1000,1600,0.0,0.000280024559666168,0.0010334737808153553,0.0010050925446591762
1001,1601,0.0,0.0005210827472404989,0.001022708428931862,0.0010529721110370117
1002,1602,0.0,0.0006256026341294791,0.0010120552161304885,0.0011096050640530038
1003,1603,0.0,2.3713384256505895e-05,0.001001512974295796,0.0009049852920823333
1004,1604,0.0,2.3175782731506056e-05,0.0009910805474802147,0.0010605014342881462
1005,1605,0.0,0.000595812179288238,0.0009807567917772958,0.0008953687967646826
1006,1606,0.0,0.0006331359149984768,0.0009705405751962823,0.000999074645741809
1007,1607,0.01,0.01082427651039941,0.0010645974442046544,0.0010600564746880872
1008,1608,0.19,0.19042295105572102,0.0030326745541608556,0.0030982128822436973
1009,1609,0.0,0.0001774170285703033,0.00300108419422168,0.003020616127536735
1010,1610,0.0,0.00027135224268496304,0.0029698229005318713,0.0029343379454680445
1011,1611,0.0,0.00021879780855575562,0.002938887245317998,0.0029521957340839927
