,J_true,J_obs,Q_true,Q_obs
0,0.0,0.003963941175160245,0.003958333333333334,0.0039372973827235
1,0.0,0.0015815889362079168,0.003917100694444445,0.0039260357393715
2,0.0,0.001483360190616882,0.003876297562210649,0.0038192150558076774
3,0.0,0.0008911834022829006,0.0038359194626042883,0.0036844673909543057
4,0.0,0.0016335256097443523,0.0037959619682021604,0.0037488741113470515
5,0.0,0.002287540313987272,0.0037564206977000547,0.0037928807111277446
6,0.01850621079311615,0.020441496515464813,0.0039100643445273055,0.003963353671986463
7,0.0,0.0008195712636474411,0.003869334507605146,0.003819561478738743
8,0.0,0.0006563369849696584,0.0038290289398175926,0.0037332636688684664
9,0.0,0.0036568922827603803,0.0037891432216944926,0.00375845154405438
10,0.0,0.0033042829780079107,0.003749672979801842,0.0037166993682691877
11,0.014766354226553592,0.014064176549055033,0.0038644300761221727,0.0038704382676602615
12,0.0,0.0004658128413679752,0.0038241755961625668,0.0038605553914927986
13,0.0,0.0018722619424374437,0.00378434043370254,0.0038032802129245743
14,0.013526426266740955,0.013094277484141104,0.0038858204944633573,0.0038206975310522994
15,0.0,0.0013288774637135422,0.003845343197646031,0.003804112730251237
16,0.0,0.001429830962870136,0.003805287539337218,0.003754783415369467
17,0.0,0.0027475648337920208,0.0037656491274691223,0.0036988181832966335
18,0.0,0.0030870386852201127,0.0037264236157246522,0.0036485937081422084
19,0.0,0.0018592295066736748,0.003687606703060854,0.003655914503725877
20,0.0,0.001759932488362397,0.0036491941332373033,0.0036825459249594985
21,0.0,0.00023547749145256066,0.003611181694349415,0.0035872304008143538
22,0.0,0.0021082228039927477,0.0035735652183666086,0.003485776900106566
23,0.0,0.0009224921598704902,0.0035363405806752898,0.003571967874889374
24,0.0,0.0013538467650087323,0.003499503699626589,0.0034640730781006807
25,0.0,0.0004110499486254934,0.0034630505360888123,0.0035710142494496
26,0.007956678102832572,0.006646060935891139,0.0035098591565757265,0.003558161157591691
27,0.0015823716811918468,0.001703306486040338,0.003489781162040478,0.003522895154923505
28,5.7622156379605674e-05,0.003558094323573066,0.0034540295057315104,0.00348437919932081
29,0.0014400376902057171,0.0005485756926489141,0.0034330504243197837,0.003495419403368112
30,0.0,0.0029153175495348882,0.0033972894823997863,0.0033713150529647512
31,0.0,9.439247161592948e-05,0.0033619010502914555,0.0033376452567888248
32,0.0,0.0005784795362199812,0.003326881247684253,0.0033524876158142493
33,0.0,0.0001885413619495608,0.0032922262346875425,0.003262815627856042
34,0.017620537853347072,0.016833265153660747,0.003441479480715246,0.0034085970957124104
35,0.004384916081771006,0.004358549888589676,0.003451306945309577,0.0034420023638705214
36,0.0,0.00351034603932108,0.003415355831295936,0.003516766933120806
37,0.0,0.0037679012611542256,0.0033797792080532698,0.003353713841435514
38,0.0,0.0008089246407043604,0.0033445731746360482,0.0034668815599406657
39,0.0,0.0017481445250744493,0.0033097338707335894,0.0033090642023805546
40,0.0,0.00044631761183700066,0.0032752574762467813,0.00327257276975011
41,0.001934274423939222,0.001496764118891534,0.0032612889027852443,0.003187660677573636
42,0.0,0.001474228697261155,0.0032273171433812313,0.003330559961973133
43,0.028669351256073963,0.029126213182374544,0.003492338332055114,0.0034842904678064786
44,0.0,0.0012726783505598127,0.0034559598077628733,0.003440740831446715
45,0.0,0.0016490231495592774,0.00341996022643201,0.0033953731578406756
46,0.003479179374515787,0.006869787844665154,0.003420577092557883,0.0033829412943805455
47,0.0,6.823470567643941e-05,0.003384946081177072,0.0034220517373688896
48,0.0,0.0009435233775560407,0.0033496862261648106,0.0033221486823273986
49,0.0,0.0035744856575091704,0.0033147936613089272,0.0033831407527164783
50,0.037660569916640046,0.03639000236739848,0.0036725621639686263,0.003753003773179862
51,0.01741965968669005,0.018615811838796813,0.003815761096496975,0.0037374613932766713
52,0.010633605166512393,0.010121063630049588,0.0038867803055596356,0.003914970313981952
53,0.0,0.001134218208341983,0.0038462930107100563,0.0037859228997018375
54,0.0,0.0003083540076385412,0.00380622745851516,0.003826989897832829
55,0.0006032593542868551,0.0009421881866328767,0.0037728632074294486,0.0037053831964040337
56,0.0,0.0010775724107205827,0.003733562549018725,0.0037560106912776186
57,0.0,0.001604602670027089,0.003694671272466447,0.0036826839155267737
58,0.0,0.0015445304887949103,0.003656185113378255,0.00365191813525147
59,0.0,0.00018194888010953506,0.003618099851780565,0.0036814965580139595
60,0.0,0.0008557371029879325,0.003580411311657851,0.003724540173600537
61,0.0,0.0018882738242554924,0.0035431153604947485,0.003485956107299209
62,0.0,0.0001708105656962803,0.0035062079088229283,0.0034638969950025887
63,0.0,0.0013606385957332357,0.0034696849097726897,0.0035893421715270917
64,0.0,0.003788936220384788,0.0034335423586292243,0.003356178980423696
65,0.010862201923789562,0.01220010564214609,0.0035109242290996445,0.0036006988577280546
66,0.0,0.0014250608206698076,0.00347435210171319,0.0034104003124712577
67,0.0,0.0023418995839718376,0.003438160933987011,0.003508234648117725
68,0.0,0.00015928401717338645,0.003402346757591313,0.003467584393560467
69,0.004341568926012045,0.0019195429070984985,0.003412130321845696,0.003335053654768379
70,0.0,0.0016935569831376814,0.0033765872976598034,0.003344830107883276
71,0.0,0.0010340612184693567,0.0033414145133091808,0.0033208154557069483
72,0.0,0.001016877790300233,0.003306608112128877,0.0033604979289579124
73,0.0,0.0005635444982200723,0.0032721642776275344,0.003281036132181061
74,0.005353206970118252,0.005464247454387287,0.003293841805674313,0.0033908201640802157
75,0.0,0.0037360844610375044,0.0032595309535318725,0.003327033299067576
76,0.0031284199053879004,0.004430381495180871,0.0032581652134470395,0.0032475869249329265
77,0.010135603153752988,0.009039299230616646,0.0033298051919918932,0.003247099790424557
78,0.009266572739082652,0.009462930645710061,0.003391646520607422,0.0034648098321012418
79,0.01877337584705567,0.020968229210163232,0.0035518728677579247,0.0036623296367143624
80,0.0,0.0023456015352631213,0.0035148741920521132,0.0035334443202791424
81,0.0,0.0004262198952273993,0.003478260919218237,0.0035498496609514384
82,0.0,0.0025703254998907694,0.003442029034643047,0.0033791213544649423
83,0.0,0.0024992065123907946,0.0034061745655321824,0.0034165643934683902
84,0.0,0.0007313951457999961,0.0033706935804745557,0.0033878431490657885
85,0.007889835416300716,0.006575761051793353,0.0034177679745977453,0.0033718725688775637
86,0.0,0.0011258949732508774,0.003382166224862352,0.0032892856931402022
87,0.0,0.0004115117177301492,0.0033469353266867025,0.003326180884427772
88,0.0,0.006375256888984163,0.0033120714170337164,0.003388100399710012
89,0.0352223864262403,0.03614300530377511,0.003644470531712952,0.0036169029090305166
90,0.0,0.0028411560606259757,0.0036065072970076087,0.0036117819426365336
91,0.0,0.0011836660302025508,0.0035689395126637796,0.003510895897549181
92,0.0,0.002650535188824442,0.0035317630594068655,0.0035545017369616686
93,0.007128787664663129,0.006536942442910515,0.0035692320657116183,0.0035479864385669613
94,0.0,0.00037278445345029617,0.0035320525650271222,0.0034091741819326426
95,0.0,0.0024217203371913456,0.0034952603508080896,0.003419015743775715
96,0.0,0.0008947329949187083,0.0034588513888205055,0.0033993791408985625
97,0.008925545753223805,0.008094458231610263,0.00351579612178304,0.003446169800960693
98,0.0,0.0013721943653889606,0.0034791732455144667,0.0034356995000426258
99,0.013632590089318252,0.013495541117753189,0.00358493800430409,0.0036125623347682996
