,index,J_true,J_obs,Q_true,Q_obs
0,600,0.0,0.0006674582014621006,0.0018487395059604511,0.0018892017339141377
1,601,0.04,0.03423909089843684,0.0022461484694400297,0.0022982724919627696
2,602,0.09,0.09776140953413143,0.0031602510895500295,0.003016345528215994
3,603,0.02,0.022775976269504273,0.00333566514070055,0.0034052316419548004
4,604,0.03,0.02659898452182971,0.0036134186288182524,0.00311038578672923
5,605,0.04,0.026020222169615356,0.003992445518101396,0.0037653863038154514
6,606,0.05,0.05539578554874587,0.00447169087728784,0.0038552945317795084
7,607,0.03,0.03443151572443215,0.004737610763982759,0.004480156163103584
8,608,0.0,0.00506718735343445,0.004688260651857939,0.00472341498758637
9,609,0.01,0.010060459608259324,0.004743591270067752,0.0050161554056063345
10,610,0.03,0.040038461353522896,0.005006678861004547,0.005194897580630765
11,611,0.05,0.05394691426479263,0.0054753592895357495,0.004731945523135409
12,612,0.04,0.040228801599847284,0.005834990963603085,0.005820047441893561
13,613,0.01,0.015362828501473004,0.005878376474398887,0.0053177437336396375
14,614,0.02,0.02464148481596615,0.006025476719457232,0.00618878026176388
15,615,0.02,0.02379103044781187,0.006171044670296218,0.0061609216173817835
16,616,0.02,0.02283282620638494,0.006315096288313966,0.006970548156463538
17,617,0.0,0.003928464110000323,0.006249314035310695,0.006787638561578603
18,618,0.0,1.0599267924487461e-05,0.006184217014109542,0.005599124914008552
19,619,0.0,0.006781954006083093,0.006119798086879235,0.006074970448007688
20,620,0.0,0.00014160685018107564,0.006056050190140909,0.006356199533727401
21,621,0.0,0.0016832606111662001,0.0059929663339936086,0.005326006818267388
22,622,0.0,0.004996365448267781,0.005930539601347842,0.006086418118136942
23,623,0.0,0.0033395317373491637,0.005868763147167135,0.005883655479813632
24,624,0.0,0.0008038264725400692,0.005807630197717478,0.005782319752573482
25,625,0.0,0.004368307032625595,0.005747134049824588,0.005625065133435603
26,626,0.0,0.006021886077248011,0.005687268070138915,0.005740516255475122
27,627,0.0,0.0079300376753082,0.005628025694408302,0.004991115940311694
28,628,0.0,0.0014976474405280092,0.005569400426758215,0.005617991198420423
29,629,0.0,0.0014558117516537432,0.005511385838979484,0.005675027449655017
30,630,0.0,0.002925155161069918,0.005453975569823448,0.004532313736381556
31,631,0.0,0.00017732290617695023,0.005397163324304454,0.005351359190474756
32,632,0.0,0.0020150147450383104,0.005340942873009616,0.004444353706461779
33,633,0.0,0.0055786130287932756,0.0052853080514157665,0.004737486938958065
34,634,0.0,0.0004348192775209701,0.005230252759213519,0.004806032725124969
35,635,0.0,8.242824371218705e-05,0.005175770959638378,0.0045839953628149625
36,636,0.0,0.0029796832810514207,0.005121856678808811,0.004977191258634433
37,637,0.0,0.002148325964932526,0.00506850400507122,0.004886004574877907
38,638,0.0,0.005121841316613333,0.005015707088351728,0.004475855933041242
39,639,0.0,0.004802895281666603,0.004963460139514731,0.005936606517196522
40,640,0.0,0.0023297749112581203,0.0049117574297281195,0.005476241758721261
41,641,0.0,0.006368062138828223,0.0048605932898351184,0.004783624542606179
42,642,0.0,8.877878798521788e-06,0.004809962109732669,0.0051792532773617716
43,643,0.0,0.009444696083550193,0.004759858337756288,0.004264670140028948
44,644,0.0,0.0019138056840886273,0.004710276480071327,0.004015993601134282
45,645,0.0,0.0011751743241729723,0.004661211100070584,0.004386968073656989
46,646,0.0,0.008870649602971733,0.0046126568177781825,0.005190837029315739
47,647,0.0,0.008987774441137195,0.00456460830925966,0.0050581563680827495
48,648,0.0,0.004573095653570195,0.004517060306038205,0.004774128577851864
49,649,0.0,0.0036663083876821217,0.004470007594516974,0.004440886472502257
50,650,0.0,0.0035769339054613665,0.004423445015407422,0.004995622044091906
51,651,0.0,0.0016185942626453893,0.004377367463163594,0.004242649873070863
52,652,0.0,0.003279386143665391,0.004331769885422307,0.004756740535317526
53,653,0.0,0.004402825897229706,0.004286647282449158,0.0036775201392398923
54,654,0.0,0.0004209580213987342,0.004241994706590313,0.004712025458381008
55,655,0.0,0.011287933733901996,0.0041978072617299975,0.00487786464932499
56,656,0.0,0.0032108609901403285,0.004154080102753643,0.004659329245627945
57,657,0.0,0.004162279130142933,0.0041108084350166265,0.004405000695064591
58,658,0.0,0.007334265262971871,0.004067987513818537,0.004098702166177036
59,659,0.0,0.0009555777597841529,0.0040256126438829275,0.0042689587253685385
60,660,0.0,0.003116817795966958,0.00398367917884248,0.004727043301434422
61,661,0.0,0.005042610729794923,0.003942182520729538,0.004970219405941712
62,662,0.0,0.007056706049836082,0.003901118119471939,0.004043945183442614
63,663,0.0,0.00876297731322503,0.0038604814723941067,0.004211043082644174
64,664,0.0,0.005964596210936597,0.003820268123723335,0.004020052206553666
65,665,0.0,0.0018095988190846965,0.003780473664101217,0.003801471157125275
66,666,0.0,0.0016779159115838547,0.003741093730100163,0.003958666243684807
67,667,0.0,0.009768377015625183,0.0037021240037449533,0.003484628121223478
68,668,0.0,0.003369059967428359,0.003663560212039277,0.003340628813701005
69,669,0.0,0.0014904160458584317,0.0036253981264972013,0.002961224977694906
70,670,0.0,0.004488128810346065,0.003587633562679522,0.003595716516523884
71,671,0.0,0.004850612977196055,0.003550262379734944,0.003618119449123275
72,672,0.0,0.007113518749978996,0.0035132804799460383,0.004085773977369385
73,673,0.0,0.0011350307801518275,0.003476683808279934,0.0036642748815079846
74,674,0.0,0.00027098652391089895,0.0034404683519436846,0.003572987593901133
75,675,0.0,0.0020434272645691383,0.0034046301399442715,0.004079964659685922
76,676,0.0,0.00489044774553162,0.0033691652426531857,0.0036069372499349128
