,J_true,J_obs,Q_true,Q_obs
0,0.05250460346846088,0.05364905836021856,0.050026089619463136,0.05006954465737853
1,0.0662691129634126,0.06585250381581989,0.050195287779295945,0.05019352920857415
2,0.044390390966684026,0.04315975765249403,0.050134820104164576,0.050077720952861546
3,0.05999623842846265,0.05809011236282273,0.05023754321170935,0.05033123315266985
4,0.06776670416248125,0.07198507910600994,0.05042013863827989,0.050479731089400404
5,0.04569165901123453,0.04204835851762044,0.05037088364216484,0.05038212462350567
6,0.06532977646132467,0.06582669067530164,0.05052670544236443,0.05055160211364242
7,0.0425930981638286,0.040508580933245227,0.050444063699879686,0.05033440678270228
8,0.04708809735578549,0.04452097533441665,0.050409105717128706,0.050507948484694316
9,0.06651708146251452,0.0689046106665873,0.05057689713114314,0.05046267642274749
10,0.042434463395534264,0.040302950641735766,0.05049208011306388,0.05047829927654145
11,0.046419892849346035,0.046481786069699736,0.05044966149573349,0.05044446124324552
12,0.04929151743611953,0.049840284924225556,0.05043759749511251,0.05040727687729311
13,0.05306714240739295,0.05525186431092457,0.05046498858794876,0.05040255667062918
14,0.03821001845924898,0.04224587547850386,0.050337332649108134,0.050231485137728585
15,0.04362915360467628,0.046321447839788074,0.05026745578406197,0.050313309222251634
16,0.05535836798839106,0.05769490663930559,0.050320486119523736,0.05033732624144578
17,0.04921507177768143,0.049321109700808885,0.05030897138679621,0.05036779967382817
18,0.06563237481257009,0.06388034231782756,0.050468590172481356,0.05042150121177697
19,0.04926908929318133,0.051422004578722015,0.05045609537165531,0.05039020633336762
20,0.05223779055769681,0.05321734423068479,0.05047465469650991,0.0505380071707734
21,0.04770617852039192,0.046632651452854605,0.050445816403008686,0.05049773998116197
22,0.05503368139068396,0.05744215636856597,0.05049360666329697,0.05041627514675415
23,0.05723857532551876,0.055847383542685564,0.05056386675352845,0.05059583978274567
24,0.06189625761206512,0.061049954753142094,0.050681912491638205,0.05066236181706789
25,0.045425857261912894,0.04462484506439602,0.050627161916328565,0.05061813684203157
26,0.05601936199143574,0.054554615387579594,0.050683330667110935,0.050691154998914016
27,0.05014489516738508,0.05046357329121309,0.05067772196398879,0.05068373152045099
28,0.044431311136411925,0.041974247019953906,0.050612655184534866,0.05056614223002733
29,0.04919332965281751,0.04633287573885636,0.050597870543579476,0.05054831246400006
30,0.04938541153705515,0.05295343684058799,0.050585240762261514,0.05064262383594752
31,0.05898966145075714,0.06072391514173529,0.05067278681110002,0.05061463498068025
32,0.054363991138684925,0.05386149514794365,0.05071123685617902,0.05081351488911172
33,0.055989955402620355,0.05418450717577009,0.05076622350770446,0.05082357660919106
34,0.06926670142543459,0.07036186749275672,0.05095893681934749,0.05106799715334351
35,0.046599839109755986,0.047519148024511015,0.050913529551539244,0.0509790781895239
36,0.04851032769192679,0.05002314576623715,0.050888496198834954,0.05084646511350839
37,0.04557069060290249,0.04869902141063429,0.05083310239054399,0.050787649892986
38,0.05574773242763381,0.05486364979121797,0.050884296453430344,0.05082399332953448
39,0.04523482256599702,0.04375429507461899,0.05082544776710292,0.05079361487211331
40,0.06263712327424203,0.06523890665734206,0.05094848605363562,0.05089929778315125
41,0.05147434858206212,0.04909412817031493,0.05095396378830673,0.05101583571501534
42,0.055295224991743275,0.054162062953872984,0.050999185259175864,0.05089816972696518
43,0.06228553570997451,0.06060509621297766,0.05111675140970502,0.05110619592436101
44,0.06905862478197355,0.06810621568900997,0.05130364592399948,0.05125742985319731
45,0.05816217837740836,0.05599661393783344,0.051375088970389164,0.05133086472331679
46,0.05214022184540513,0.05149156639932783,0.051383059104503914,0.05141427280315187
47,0.03369834633252266,0.03487525702170871,0.05119884334646244,0.05119366374601536
48,0.05082147657047574,0.04988134068121831,0.05119491244254592,0.051202888001621365
49,0.04637065139628098,0.04198987779214639,0.051144659723313994,0.0511220659171569
50,0.03696900585163534,0.036909831416867295,0.05099699666215068,0.05097358789093685
51,0.04366656034175054,0.043409435635859805,0.050920637950479845,0.05093477878241324
52,0.04548557973173672,0.045030538730043625,0.050864022760701275,0.050829117714460845
53,0.0438271815951954,0.044850402275748186,0.05079072233189392,0.05081925379067925
54,0.06153321021200862,0.0635064895340711,0.050902623247311776,0.050817365045041515
55,0.05266643044399587,0.051947915557197494,0.0509209962389439,0.050873133274310894
56,0.041754821791775885,0.04100184972166231,0.05082551525511923,0.050865869153281985
57,0.0582063172359769,0.05682139005824429,0.0509023986090865,0.05080240477097941
58,0.0472774892839218,0.045213923839647306,0.050864639136949365,0.05092539332275263
59,0.04981761363710736,0.04853093425899717,0.05085373262132601,0.05086356362116012
60,0.04928787087283202,0.049415726868841485,0.05083742156144586,0.050771955166023744
