,index,J_true,J_obs,Q_true,Q_obs
0,600,0.0,0.0017730321095894219,0.0018487395059604511,0.0018693753335335033
1,601,0.04,0.04262865597666698,0.0022461484694400297,0.0022604527312702063
2,602,0.09,0.09075692408814055,0.0031602510895500295,0.0030522318429822446
3,603,0.02,0.022501013872263526,0.00333566514070055,0.0033733706649691627
4,604,0.03,0.03174022318441447,0.0036134186288182524,0.003575642661059082
5,605,0.04,0.04252945505825582,0.003992445518101396,0.003908214652823404
6,606,0.05,0.05186807251138405,0.00447169087728784,0.004486007244544532
7,607,0.03,0.03032641768538763,0.004737610763982759,0.004795250437303299
8,608,0.0,0.0008517370126457181,0.004688260651857939,0.004682119931553215
9,609,0.01,0.011961652009756378,0.004743591270067752,0.004738268020255708
10,610,0.03,0.03215059190299156,0.005006678861004547,0.004982194275230347
11,611,0.05,0.05041816899645811,0.0054753592895357495,0.005528172782846482
12,612,0.04,0.04100211223433228,0.005834990963603085,0.005818099749110117
13,613,0.01,0.012578527363134286,0.005878376474398887,0.005878517503269405
14,614,0.02,0.02127901012171944,0.006025476719457232,0.0059716318283997635
15,615,0.02,0.022461886955153026,0.006171044670296218,0.00613880889475224
16,616,0.02,0.020840722856623688,0.006315096288313966,0.006408655053319538
17,617,0.0,0.0008445588113936221,0.006249314035310695,0.006220010622445585
18,618,0.0,0.0006063007514011966,0.006184217014109542,0.0061664749331972486
19,619,0.0,0.00018116924036801787,0.006119798086879235,0.006079026558503919
20,620,0.0,0.00041647364984915154,0.006056050190140909,0.0061579721786275505
21,621,0.0,0.0006310064515720359,0.0059929663339936086,0.005977290654953361
22,622,0.0,0.0016953628127749968,0.005930539601347842,0.005932262059840945
23,623,0.0,0.001996900165211866,0.005868763147167135,0.005784597330398523
24,624,0.0,0.0020380741872403994,0.005807630197717478,0.005804831400950637
25,625,0.0,0.0018079172707073472,0.005747134049824588,0.00574357064224591
26,626,0.0,0.002103808477917973,0.005687268070138915,0.005710779062798572
27,627,0.0,6.592435697706191e-05,0.005628025694408302,0.005633411789310641
28,628,0.0,0.002292232241624531,0.005569400426758215,0.00562933862361609
29,629,0.0,0.0017007050842925812,0.005511385838979484,0.005505647580366838
30,630,0.0,0.001211288065455577,0.005453975569823448,0.005391121147140356
31,631,0.0,0.002350613396266031,0.005397163324304454,0.0053640176118959024
32,632,0.0,0.0008409479656380839,0.005340942873009616,0.005238790222896769
33,633,0.0,0.00190874298241245,0.0052853080514157665,0.005262220743031993
34,634,0.0,0.000521760862387609,0.005230252759213519,0.005186991915681803
35,635,0.0,0.0006803321756067854,0.005175770959638378,0.005176918236377513
36,636,0.0,0.0018384323203256851,0.005121856678808811,0.005143759895786396
37,637,0.0,0.0026018477131425897,0.00506850400507122,0.005142916486887494
38,638,0.0,0.0009743151020125524,0.005015707088351728,0.005077287265181709
39,639,0.0,0.000359893089657246,0.004963460139514731,0.004955457865366646
40,640,0.0,0.001064351836144841,0.0049117574297281195,0.004948770855598848
41,641,0.0,0.00024143198005714808,0.0048605932898351184,0.004759984501400421
42,642,0.0,0.0005265563136288054,0.004809962109732669,0.004822125331055939
43,643,0.0,0.0018745751163347577,0.004759858337756288,0.004758467107999749
44,644,0.0,0.0009427172782463201,0.004710276480071327,0.004764249882554349
45,645,0.0,0.0016061359596117768,0.004661211100070584,0.0046862617179901575
46,646,0.0,0.002473556516774362,0.0046126568177781825,0.004617705902664903
47,647,0.0,0.002560940001883882,0.00456460830925966,0.0045537299375599145
48,648,0.0,0.0018048709796856612,0.004517060306038205,0.004538591209175523
49,649,0.0,0.0008459449911356315,0.004470007594516974,0.004465642894967078
50,650,0.0,0.0026157074508693467,0.004423445015407422,0.004374385907117001
51,651,0.0,0.0010467669078596262,0.004377367463163594,0.0043724789272887084
52,652,0.0,0.0015649608552734016,0.004331769885422307,0.004219794601104037
53,653,0.0,0.0019835974653443908,0.004286647282449158,0.004342972976350571
54,654,0.0,0.002494174257043873,0.004241994706590313,0.004302506872271768
55,655,0.0,0.0015525117699411203,0.0041978072617299975,0.004150507684208777
56,656,0.0,0.0016752436730722968,0.004154080102753643,0.0041288276096337236
57,657,0.0,0.00047822953420695384,0.0041108084350166265,0.004012130192400172
58,658,0.0,0.0009245464577249521,0.004067987513818537,0.004131488293960594
59,659,0.0,0.002522180831998157,0.0040256126438829275,0.004021433610958585
60,660,0.0,0.0020861571115709065,0.00398367917884248,0.00405376925460934
61,661,0.0,0.0016363791607138837,0.003942182520729538,0.003979300215198224
62,662,0.0,0.0003033584199786673,0.003901118119471939,0.003914541606564914
63,663,0.0,0.0018525881328813798,0.0038604814723941067,0.0038034091632957565
64,664,0.0,0.0025914498036461496,0.003820268123723335,0.0037980711870783048
65,665,0.0,0.0009819512334675303,0.003780473664101217,0.003797259637200021
66,666,0.0,0.0015188456171904043,0.003741093730100163,0.003680134874088569
67,667,0.0,0.0019419225363951505,0.0037021240037449533,0.0037229535005663663
68,668,0.0,0.0017695923959058675,0.003663560212039277,0.003688826253911506
69,669,0.0,3.223018130881669e-05,0.0036253981264972013,0.0035867918516608545
70,670,0.0,0.0005382691523920638,0.003587633562679522,0.003541655855114249
71,671,0.0,0.0025980207322356015,0.003550262379734944,0.0035964644832505257
72,672,0.0,0.0024611531460720514,0.0035132804799460383,0.003512326211755457
73,673,0.0,0.0014922603196365382,0.003476683808279934,0.0034827714563517545
74,674,0.0,0.000602787081816935,0.0034404683519436846,0.0034709614921229967
75,675,0.0,0.0025412499475874393,0.0034046301399442715,0.0034468008283996122
