,index,J_true,J_obs,Q_true,Q_obs
0,600,0.0,0.00251068483047966,0.0018487395059604511,0.001824268024645605
1,601,0.04,0.04077897295796159,0.0022461484694400297,0.002192309142122005
2,602,0.09,0.09011869186717077,0.0031602510895500295,0.003167028447540828
3,603,0.02,0.02051778354976054,0.00333566514070055,0.003291414730368023
4,604,0.03,0.03117932865796392,0.0036134186288182524,0.003629263405840231
5,605,0.04,0.04199256485763799,0.003992445518101396,0.004005743668364095
6,606,0.05,0.050444255553143705,0.00447169087728784,0.004393418393421428
7,607,0.03,0.030325463530520354,0.004737610763982759,0.0047239135341216
8,608,0.0,0.0025121370568501017,0.004688260651857939,0.0046440534782276515
9,609,0.01,0.010604182648436123,0.004743591270067752,0.004754388296705526
10,610,0.03,0.030577252200455204,0.005006678861004547,0.005060919210765267
11,611,0.05,0.05153140771348231,0.0054753592895357495,0.00555874678693673
12,612,0.04,0.04124173029409123,0.005834990963603085,0.005859216290122447
13,613,0.01,0.011439905852396275,0.005878376474398887,0.0059255431664771464
14,614,0.02,0.022079081703424354,0.006025476719457232,0.005945689672127149
15,615,0.02,0.021658623166878624,0.006171044670296218,0.0062688664621071925
16,616,0.02,0.020904747369393017,0.006315096288313966,0.006315978452569688
17,617,0.0,0.0010197420572713265,0.006249314035310695,0.0062303708804497164
18,618,0.0,0.0004944204587872343,0.006184217014109542,0.0061975869425600775
19,619,0.0,0.0023343843963227686,0.006119798086879235,0.006160602775446997
20,620,0.0,0.0009546232033794459,0.006056050190140909,0.006043414903325205
21,621,0.0,0.0009732266663157737,0.0059929663339936086,0.005970424833836841
22,622,0.0,0.0007097044094287547,0.005930539601347842,0.0059538476109140355
23,623,0.0,0.0011631906485564485,0.005868763147167135,0.005949302928828035
24,624,0.0,0.0006240046785414328,0.005807630197717478,0.005840782375321767
25,625,0.0,0.0012008632464620092,0.005747134049824588,0.005743574009609861
26,626,0.0,0.0006776762085119075,0.005687268070138915,0.005669172656093291
27,627,0.0,0.0019582437667334564,0.005628025694408302,0.005725205540250307
28,628,0.0,0.00010778534151944541,0.005569400426758215,0.00561844558282224
29,629,0.0,0.0024561163614938574,0.005511385838979484,0.005456481056727798
30,630,0.0,0.0007763642675752686,0.005453975569823448,0.005403069260885207
31,631,0.0,0.0016902863119078644,0.005397163324304454,0.005445530573873154
32,632,0.0,0.00023375597117268151,0.005340942873009616,0.005394290097198951
33,633,0.0,0.0021451295843088383,0.0052853080514157665,0.005302457405660806
34,634,0.0,0.0016063420587641623,0.005230252759213519,0.005260329234221659
35,635,0.0,0.0010198630652496587,0.005175770959638378,0.005030895965389744
36,636,0.0,0.0003820991787897134,0.005121856678808811,0.005121444391330869
37,637,0.0,0.0025632468058089885,0.00506850400507122,0.00516523632697993
